投票区,番号,住所,備考,名称
12,4,大阪府箕面市新稲３丁目２番１号,第一中学校 東側,No.4 第一中学校 東側
12,5,大阪府箕面市新稲３丁目１６番先,西小路髙橋 北東側,No.5 西小路髙橋 北東側
12,6,大阪府箕面市新稲３丁目１２番２号,西小学校運動場 西側,No.6 西小学校運動場 西側
12,7,大阪府箕面市新稲４丁目１８番内,第一市民プール 南側,No.7 第一市民プール 南側
13,1,大阪府箕面市箕面７丁目３番先,箕面橋 西側,No.1 箕面橋 西側
13,2,大阪府箕面市箕面７丁目１番先,徳尾橋南側ガードレール,No.2 徳尾橋南側ガードレール
13,3,大阪府箕面市箕面８丁目２番先,中衛橋 北側,No.3 中衛橋 北側
13,4,大阪府箕面市箕面７丁目６番内,西小路霊園 南側,No.4 西小路霊園 南側
13,5,大阪府箕面市箕面７丁目７番３１号,学校法人箕面学園 北側,No.5 学校法人箕面学園 北側
13,6,大阪府箕面市箕面７丁目７番３１号,学校法人箕面学園 西側,No.6 学校法人箕面学園 西側
13,7,大阪府箕面市箕面８丁目１３番内,平和台配水地 北側,No.7 平和台配水地 北側
14,1,大阪府箕面市百楽荘４丁目１番２４号先,高見マンション 南側,No.1 高見マンション 南側
14,2,大阪府箕面市百楽荘３丁目７番２３号,箕面ビル（ＮＴＴ） 西側,No.2 箕面ビル（ＮＴＴ） 西側
14,3,大阪府箕面市百楽荘１丁目１番内,阪急電車牧落駅 西側,No.3 阪急電車牧落駅 西側
14,4,大阪府箕面市百楽荘１丁目９番１３号,箕面小コミセン日時計の家前,No.4 箕面小コミセン日時計の家前
14,5,大阪府箕面市牧落２丁目６番内,大通庵公園 東側,No.5 大通庵公園 東側
14,6,大阪府箕面市牧落２丁目１６番先,歩道橋 北側,No.6 歩道橋 北側
14,7,大阪府箕面市牧落５丁目７番地内,山ノ原公園 北側,No.7 山ノ原公園 北側
15,1,大阪府箕面市西小路４丁目６番１号,箕面市役所 東側,No.1 箕面市役所 東側
15,2,大阪府箕面市西小路４丁目６番１号,箕面市役所 北側,No.2 箕面市役所 北側
15,3,大阪府箕面市西小路４丁目６番１号,箕面市役所 南側,No.3 箕面市役所 南側
15,4,大阪府箕面市西小路１丁目３番内,西小路第３踏切南西フェンス,No.4 西小路第３踏切南西フェンス
15,5,大阪府箕面市西小路２丁目１３番内,西小路ちびっ子広場 東側,No.5 西小路ちびっ子広場 東側
15,6,大阪府箕面市西小路２丁目１０番内,西小路児童公園 北側,No.6 西小路児童公園 北側
15,7,大阪府箕面市西小路５丁目２番３２号先,歩道柵,No.7 歩道柵
16,1,大阪府箕面市箕面１丁目１番内,箕面駅 西側,No.1 箕面駅 西側
16,2,大阪府箕面市箕面１丁目９番先,平尾会館 東側（駐車場前）,No.2 平尾会館 東側（駐車場前）
16,3,大阪府箕面市箕面６丁目７番８号,平尾踏切 南側,No.3 平尾踏切 南側
16,4,大阪府箕面市箕面６丁目４番１０号,箕面駅前第一駐車場 東側,No.4 箕面駅前第一駐車場 東側
16,5,大阪府箕面市箕面６丁目４番３３号,りそな銀行箕面支店 西側,No.5 りそな銀行箕面支店 西側
16,6,大阪府箕面市箕面６丁目４番内,箕面駅前第一駐車場 西側,No.6 箕面駅前第一駐車場 西側
16,7,大阪府箕面市箕面６丁目５番先,箕面郵便局 東側,No.7 箕面郵便局 東側
