通し番号,投票区,番号,名称,住所,設置説明
425,60,1,60-1 あさぎ里山公園内池の西側木柵,大阪府茨木市彩都あさぎ五丁目,あさぎ里山公園内池の西側木柵
426,60,2,60-2 岩阪橋西側歩道鉄柵,大阪府茨木市彩都やまぶき四丁目,岩阪橋西側歩道鉄柵
427,60,3,60-3 彩都西小学校北側フェンス,大阪府茨木市彩都あさぎ五丁目,彩都西小学校北側フェンス
428,60,4,60-4 彩都西駅自転車駐車場南側フェンス,大阪府茨木市彩都あさぎ一丁目１,彩都西駅自転車駐車場南側フェンス
429,60,5,60-5 彩都あさぎ三丁目バス停南側ガードレール,大阪府茨木市彩都あさぎ四丁目１,彩都あさぎ三丁目バス停南側ガードレール
430,60,6,60-6 彩都西中学校北側フェンス,大阪府茨木市彩都あさぎ四丁目,彩都西中学校北側フェンス
431,60,7,60-7 はしご谷橋北側道路の西側鉄柵,大阪府茨木市彩都やまぶき四丁目,はしご谷橋北側道路の西側鉄柵
432,60,8,60-8 類彩都ビル南側歩道鉄柵,大阪府茨木市彩都やまぶき二丁目１,類彩都ビル南側歩道鉄柵
