通し番号,投票区,番号,名称,住所,設置説明
310,44,1,44-1 南茨木駅北自転車駐車場西側道路鉄柵,大阪府茨木市東奈良三丁目１４,南茨木駅北自転車駐車場西側道路鉄柵
311,44,2,44-2 シルバー人材センター北側公園西側鉄柵,大阪府茨木市東奈良一丁目２,シルバー人材センター北側公園西側鉄柵
312,44,3,44-3 おおさかや酒店南側歩道鉄柵,大阪府茨木市東奈良二丁目１,おおさかや酒店南側歩道鉄柵
313,44,4,44-4 東奈良小学校西側ブロック塀,大阪府茨木市東奈良二丁目５－３６,東奈良小学校西側ブロック塀
314,44,5,44-5 文化財資料館玄関向かいの「小川」の鉄柵,大阪府茨木市東奈良二丁目１８,文化財資料館玄関向かいの「小川」の鉄柵
315,44,6,44-6 美沢ハイタウンＡ棟西側水路鉄柵,大阪府茨木市美沢町７,美沢ハイタウンＡ棟西側水路鉄柵
316,44,7,44-7 阪急オアシス入口東側水路鉄柵,大阪府茨木市東奈良三丁目１５,阪急オアシス入口東側水路鉄柵
317,44,8,44-8 美沢ハイタウンＧ棟東側道路鉄柵,大阪府茨木市美沢町１,美沢ハイタウンＧ棟東側道路鉄柵
