投票区,番号,住所,備考,名称
185,1,大阪府吹田市山田東１丁目１０－３７,メロディーハイム千里東駐車場,185-1 メロディーハイム千里東駐車場
185,2,大阪府吹田市山田東１丁目２０の前,山田下ふれあい公園北面,185-2 山田下ふれあい公園北面
185,3,大阪府吹田市山田東３丁目１８,ぎんが遊園西面,185-3 ぎんが遊園西面
185,4,大阪府吹田市山田東１丁目３１,千里台スカイハイツＡ棟西面,185-4 千里台スカイハイツＡ棟西面
185,5,大阪府吹田市山田東１丁目３１,山田小川公園東面,185-5 山田小川公園東面
185,6,大阪府吹田市山田東３丁目２８－１,山田高校正門横フェンス,185-6 山田高校正門横フェンス
185,7,大阪府吹田市山田東２丁目１７－６,駐車場西面,185-7 駐車場西面
185,8,大阪府吹田市山田東３丁目２５,駐車場南面,185-8 駐車場南面
185,9,大阪府吹田市山田東３丁目２５,小川自治会体育センター東面 所 在 地 山田西２丁目２ 山田西２丁目５ 山田西２丁目５－１ 山田西２丁目９ 山田西２丁目１０－１ 山田西２丁目１１－１ 山田西２丁目１４,185-9 小川自治会体育センター東面 所 在 地 山田西２丁目２ 山田西２丁目５ 山田西２丁目５－１ 山田西２丁目９ 山田西２丁目１０－１ 山田西２丁目１１－１ 山田西２丁目１４
