投票区,番号,住所,備考,名称
3.歌島,1,大阪府大阪市西淀川区歌島2丁目5番18号,歌島小学校通用門横,3-1 歌島小学校通用門横
3.歌島,2,大阪府大阪市西淀川区歌島3丁目7番,北之町公園南側,3-2 北之町公園南側
3.歌島,3,大阪府大阪市西淀川区歌島4丁目8番1号,市営歌島北住宅1号館南側,3-3 市営歌島北住宅1号館南側
3.歌島,4,大阪府大阪市西淀川区歌島1丁目20番,歌島三角公園,3-4 歌島三角公園
3.歌島,5,大阪府大阪市西淀川区歌島4丁目4番,市営歌島住宅1号棟南側,3-5 市営歌島住宅1号棟南側
