投票区,番号,住所,備考,名称
121,1,大阪府吹田市南正雀１丁目１,阪急正雀駅金網,121-1 阪急正雀駅金網
121,2,大阪府吹田市南正雀１丁目２４,岸本モータープールフェンス,121-2 岸本モータープールフェンス
121,3,大阪府吹田市南正雀２丁目１４の前,緑道東端,121-3 緑道東端
121,4,大阪府吹田市南正雀２丁目４１－８,国土遊園北面,121-4 国土遊園北面
121,5,大阪府吹田市南正雀３丁目,緑道西端,121-5 緑道西端
121,6,大阪府吹田市南正雀５丁目２－３４の前,安威川フェンス,121-6 安威川フェンス
121,7,大阪府吹田市南正雀４丁目１０,大阪市高速電気軌道(株) 東吹田検車場フェンス,121-7 大阪市高速電気軌道(株) 東吹田検車場フェンス
122,1,大阪府吹田市岸部南１丁目４番８号,岸部市民センター南東面フェンス,122-1 岸部市民センター南東面フェンス
122,2,大阪府吹田市岸部南１丁目６－１０の前,阪急電車フェンス,122-2 阪急電車フェンス
122,3,大阪府吹田市岸部南２丁目３７番,大阪学院大学,122-3 大阪学院大学
122,4,大阪府吹田市岸部南１丁目２５,岸本南駐車場前水路鉄柵,122-4 岸本南駐車場前水路鉄柵
122,5,大阪府吹田市岸部南１丁目２５,ＪＲフェンス（岸辺駅前第２自転車駐車場前）,122-5 ＪＲフェンス（岸辺駅前第２自転車駐車場前）
122,6,大阪府吹田市岸部南２丁目２１の前,ＪＲフェンス（中井マンション前）,122-6 ＪＲフェンス（中井マンション前）
122,7,大阪府吹田市岸部南２丁目４３－２９,さくらモータープール,122-7 さくらモータープール
123,1,大阪府吹田市岸部中１丁目１２,市営岸部中住宅西１棟北西面側歩道,123-1 市営岸部中住宅西１棟北西面側歩道
123,2,大阪府吹田市岸部中１丁目１８,岸部中第２公園北面,123-2 岸部中第２公園北面
123,3,大阪府吹田市岸部中２丁目１９－１,岸部第一小学校北面,123-3 岸部第一小学校北面
123,4,大阪府吹田市岸部中２丁目１９－１,岸部第一小学校南面,123-4 岸部第一小学校南面
123,5,大阪府吹田市岸部中２丁目２－１,市立ことぶき保育園南フェンス,123-5 市立ことぶき保育園南フェンス
123,6,大阪府吹田市岸部南１丁目１６,ＪＲ岸辺駅北口エスカレーター横植栽,123-6 ＪＲ岸辺駅北口エスカレーター横植栽
123,7,大阪府吹田市岸部中３丁目２６,岸部中３丁目２６フェンス,123-7 岸部中３丁目２６フェンス
124,1,大阪府吹田市岸部北１丁目２１,第二中学校南東面コンクリート壁,124-1 第二中学校南東面コンクリート壁
124,2,大阪府吹田市岸部北２丁目３,府営岸部第一住宅駐車場東面,124-2 府営岸部第一住宅駐車場東面
124,3,大阪府吹田市岸部北２丁目６,下井モータープール南面,124-3 下井モータープール南面
124,4,大阪府吹田市岸部北１丁目２１,第二中学校正門左側コンクリート壁,124-4 第二中学校正門左側コンクリート壁
124,5,大阪府吹田市岸部北４丁目１２－１,岸部第二小学校南角フェンス,124-5 岸部第二小学校南角フェンス
124,6,大阪府吹田市岸部北４丁目１７,紫金山公園南面植樹帯,124-6 紫金山公園南面植樹帯
124,7,大阪府吹田市岸部北４丁目２７,岸部北公園,124-7 岸部北公園
124,8,大阪府吹田市岸部北５丁目２０－１０,アルフレッサ（株）吹田事業所,124-8 アルフレッサ（株）吹田事業所
