投票区,番号,住所,備考,名称
131,1,大阪府吹田市原町１丁目１３－２８の横,農地（山本駐車場横）,131-1 農地（山本駐車場横）
131,2,大阪府吹田市原町２丁目１１,今池（新からま池）北面,131-2 今池（新からま池）北面
131,3,大阪府吹田市原町２丁目１３,棚裏池（牛池）南面,131-3 棚裏池（牛池）南面
131,4,大阪府吹田市原町２丁目２３,濁池北面歩道鉄柵,131-4 濁池北面歩道鉄柵
131,5,大阪府吹田市原町２丁目２８,宮が谷池公園北東面,131-5 宮が谷池公園北東面
131,6,大阪府吹田市原町２丁目５４,原町めだか遊園,131-6 原町めだか遊園
131,7,大阪府吹田市原町３丁目３４,徳田工務店横空地鉄柵,131-7 徳田工務店横空地鉄柵
132,1,大阪府吹田市片山町４丁目２７,原新池公園西面,132-1 原新池公園西面
132,2,大阪府吹田市片山町４丁目２７,原新池公園東面,132-2 原新池公園東面
132,3,大阪府吹田市片山町４丁目３２－１３,千里第一小学校（陸橋横）,132-3 千里第一小学校（陸橋横）
132,4,大阪府吹田市片山町４丁目３２－１３,千里第一小学校（西面）,132-4 千里第一小学校（西面）
132,5,大阪府吹田市藤が丘町４,大井池公園東面,132-5 大井池公園東面
132,6,大阪府吹田市藤が丘町２７,くまちゃん遊園,132-6 くまちゃん遊園
132,7,大阪府吹田市天道町８,市営天道住宅北面 所 在 地 岸部中１丁目１２ 岸部中１丁目１８ 岸部中２丁目１９－１ 岸部中２丁目１９－１ 岸部中２丁目２－１ 岸部南１丁目１６ 岸部中３丁目２６,132-7 市営天道住宅北面 所 在 地 岸部中１丁目１２ 岸部中１丁目１８ 岸部中２丁目１９－１ 岸部中２丁目１９－１ 岸部中２丁目２－１ 岸部南１丁目１６ 岸部中３丁目２６
133,1,大阪府吹田市片山町１丁目２２,片山町１丁目２２フェンス,133-1 片山町１丁目２２フェンス
133,2,大阪府吹田市片山町１丁目２１,片山荒池遊園鉄柵,133-2 片山荒池遊園鉄柵
133,3,大阪府吹田市片山町１丁目２２,片山自転車保管所前フェンス,133-3 片山自転車保管所前フェンス
133,4,大阪府吹田市片山町１丁目２２,緑の遊歩道内植栽,133-4 緑の遊歩道内植栽
133,5,大阪府吹田市片山町３丁目５,植樹帯（エースモータープール前）,133-5 植樹帯（エースモータープール前）
133,6,大阪府吹田市片山町３丁目１６－２２,吹田税務署駐車場西面,133-6 吹田税務署駐車場西面
134,1,大阪府吹田市朝日が丘町１５－１５,歩道鉄柵,134-1 歩道鉄柵
134,2,大阪府吹田市片山町２丁目５－１,大和大学北西面フェンス,134-2 大和大学北西面フェンス
134,3,大阪府吹田市山手町４丁目１３－１,片山北ふれあい公園西面,134-3 片山北ふれあい公園西面
134,4,大阪府吹田市朝日が丘町２６－１０,片山浄水所東面,134-4 片山浄水所東面
134,5,大阪府吹田市朝日が丘町１６－１の前,植樹帯（片山幼稚園東側）,134-5 植樹帯（片山幼稚園東側）
134,6,大阪府吹田市朝日が丘町２１,たけのこ遊園,134-6 たけのこ遊園
134,7,大阪府吹田市山手町４丁目３２,山手ゆにわ遊園北面,134-7 山手ゆにわ遊園北面
135,1,大阪府吹田市出口町３２,片山保育園西面,135-1 片山保育園西面
135,2,大阪府吹田市出口町３４,住宅公団片山団地北側進入路横,135-2 住宅公団片山団地北側進入路横
135,3,大阪府吹田市山手町１丁目６－１,山手地区公民館フェンス,135-3 山手地区公民館フェンス
135,4,大阪府吹田市出口町２８,糸田川鉄柵（豊津駅東側）,135-4 糸田川鉄柵（豊津駅東側）
135,5,大阪府吹田市山手町２丁目１５－４３,山手小学校運動場東面,135-5 山手小学校運動場東面
135,6,大阪府吹田市山手町２丁目１５－４３,山手小学校正門横,135-6 山手小学校正門横
135,7,大阪府吹田市山手町２丁目１５－４３,山手小学校北面,135-7 山手小学校北面
135,8,大阪府吹田市山手町３丁目１５,山手コーポ遊園南面,135-8 山手コーポ遊園南面
136,1,大阪府吹田市上山手町７,山の谷墓地西面北寄り市道フェンス,136-1 山の谷墓地西面北寄り市道フェンス
136,2,大阪府吹田市上山手町１４,佐井寺南２号緑地,136-2 佐井寺南２号緑地
136,3,大阪府吹田市上山手町１８,上山手公園東面石壁,136-3 上山手公園東面石壁
136,4,大阪府吹田市上山手町２７,牛角吹田上山手店前フェンス,136-4 牛角吹田上山手店前フェンス
136,5,大阪府吹田市上山手町５５,農地北面フェンス,136-5 農地北面フェンス
136,6,大阪府吹田市上山手町５９,上山手遊園東面 所 在 地 片山町１丁目２２ 片山町１丁目２１ 片山町１丁目２２ 片山町１丁目２２ 片山町３丁目５ 片山町３丁目１６－２２,136-6 上山手遊園東面 所 在 地 片山町１丁目２２ 片山町１丁目２１ 片山町１丁目２２ 片山町１丁目２２ 片山町３丁目５ 片山町３丁目１６－２２
137,1,大阪府吹田市原町４丁目２２,原町うずまき遊園南東面,137-1 原町うずまき遊園南東面
137,2,大阪府吹田市原町３丁目３,サイクルショップカンザキ吹田店西面,137-2 サイクルショップカンザキ吹田店西面
137,3,大阪府吹田市原町３丁目４８－１,原竜が池公園南面,137-3 原竜が池公園南面
137,4,大阪府吹田市原町３丁目４８－１,原竜が池公園北面,137-4 原竜が池公園北面
137,5,大阪府吹田市原町４丁目１２,住友公園南面,137-5 住友公園南面
137,6,大阪府吹田市原町４丁目２６－８,原町児童センター,137-6 原町児童センター
137,7,大阪府吹田市原町４丁目２８,原町公園南西面,137-7 原町公園南西面
