投票区,番号,住所,備考,名称
141,1,大阪府吹田市垂水町１丁目６－９,垂水保育園西面,141-1 垂水保育園西面
141,2,大阪府吹田市垂水町１丁目３４,玉の井公園南面,141-2 玉の井公園南面
141,3,大阪府吹田市垂水町２丁目１１,垂水東遊園東面,141-3 垂水東遊園東面
141,4,大阪府吹田市垂水町３丁目２２－５,みどり健康管理センター南面フェンス,141-4 みどり健康管理センター南面フェンス
141,5,大阪府吹田市垂水町２丁目２５,垂水南遊園東面植栽,141-5 垂水南遊園東面植栽
141,6,大阪府吹田市垂水町３丁目３２－５０,豊津中学校東面,141-6 豊津中学校東面
141,7,大阪府吹田市垂水町３丁目３２－５０,豊津中学校北面,141-7 豊津中学校北面
141,8,大阪府吹田市垂水町３丁目３２－５０,豊津中学校西面,141-8 豊津中学校西面
142,1,大阪府吹田市垂水町１丁目６０,北之町第３遊園,142-1 北之町第３遊園
142,2,大阪府吹田市江坂町１丁目１９,江坂公園東面植樹帯,142-2 江坂公園東面植樹帯
142,3,大阪府吹田市江坂町１丁目１９,江坂公園北面植樹帯,142-3 江坂公園北面植樹帯
142,4,大阪府吹田市江坂町１丁目１５－４２,豊津第一小学校東面,142-4 豊津第一小学校東面
142,5,大阪府吹田市江坂町１丁目１５－４２,豊津第一小学校北面,142-5 豊津第一小学校北面
142,6,大阪府吹田市江坂町１丁目１９,江坂公園南面植込み,142-6 江坂公園南面植込み
142,7,大阪府吹田市広芝町１,広芝公園北面,142-7 広芝公園北面
142,8,大阪府吹田市広芝町２,広芝糸田川右岸,142-8 広芝糸田川右岸
142,9,大阪府吹田市垂水町１丁目５４,北之町遊園北面,142-9 北之町遊園北面
142,10,大阪府吹田市広芝町１６,広芝橋 糸田川右岸交差点フェンス,142-10 広芝橋 糸田川右岸交差点フェンス
143,1,大阪府吹田市豊津町６－１,豊津西中学校南面,143-1 豊津西中学校南面
143,2,大阪府吹田市豊津町７,江坂駅前西自転車駐車場,143-2 江坂駅前西自転車駐車場
143,3,大阪府吹田市豊津町４６,市営豊津住宅Ｔ５棟北面,143-3 市営豊津住宅Ｔ５棟北面
143,4,大阪府吹田市豊津町５０,市営豊津住宅Ｔ３棟東面,143-4 市営豊津住宅Ｔ３棟東面
143,5,大阪府吹田市江の木町４,江の木公園北面,143-5 江の木公園北面
143,6,大阪府吹田市江の木町１２,モクセイ遊園東面,143-6 モクセイ遊園東面
143,7,大阪府吹田市江の木３３－９５,住友ファーマ(株)北面,143-7 住友ファーマ(株)北面
143,8,大阪府吹田市芳野町１３,吹田支援学校北面,143-8 吹田支援学校北面
143,9,大阪府吹田市豊津町６－１,豊津西中学校北面 所 在 地 原町４丁目２２ 原町３丁目３ 原町３丁目４８－１ 原町３丁目４８－１ 原町４丁目１２ 原町４丁目２６－８ 原町４丁目２８,143-9 豊津西中学校北面 所 在 地 原町４丁目２２ 原町３丁目３ 原町３丁目４８－１ 原町３丁目４８－１ 原町４丁目１２ 原町４丁目２６－８ 原町４丁目２８
144,1,大阪府吹田市江坂町３丁目１２－１,江坂町公民館西面,144-1 江坂町公民館西面
144,2,大阪府吹田市江坂町３丁目１３－１,江坂大池小学校南面,144-2 江坂大池小学校南面
144,3,大阪府吹田市江坂町３丁目１３－１,江坂大池小学校北面,144-3 江坂大池小学校北面
144,4,大阪府吹田市江坂町４丁目１０,大阪健康倶楽部小谷診療所南面,144-4 大阪健康倶楽部小谷診療所南面
144,5,大阪府吹田市江坂町３丁目23-31,江坂ふじ遊園南面植樹帯,144-5 江坂ふじ遊園南面植樹帯
144,6,大阪府吹田市江坂町４丁目２３－６,住宅・都市整備公団江坂住宅６棟東面,144-6 住宅・都市整備公団江坂住宅６棟東面
144,7,大阪府吹田市江坂町３丁目４７,歩道鉄柵,144-7 歩道鉄柵
145,1,大阪府吹田市江坂町２丁目２の前,名神沿いフェンス,145-1 名神沿いフェンス
145,2,大阪府吹田市江坂町２丁目５－１,豊津第二小学校南面,145-2 豊津第二小学校南面
145,3,大阪府吹田市江坂町２丁目５－１,豊津第二小学校西面,145-3 豊津第二小学校西面
145,4,大阪府吹田市江坂町２丁目１１,ＮＡＳ駐車場西面,145-4 ＮＡＳ駐車場西面
145,5,大阪府吹田市江坂町２丁目１３の前,名神沿いフェンス,145-5 名神沿いフェンス
145,6,大阪府吹田市江坂町２丁目２７,染之井公園北面,145-6 染之井公園北面
145,7,大阪府吹田市江坂町２丁目３４,染之井南遊園,145-7 染之井南遊園
