投票区,番号,住所,備考,名称
181,1,大阪府吹田市山田北１,北山田小学校前植栽,181-1 北山田小学校前植栽
181,2,大阪府吹田市山田北９－１３,ヤマト運輸(株)吹田北営業所西側フェンス,181-2 ヤマト運輸(株)吹田北営業所西側フェンス
181,3,大阪府吹田市山田西４丁目２,阪急山田駅前東自転車駐車場前,181-3 阪急山田駅前東自転車駐車場前
181,4,大阪府吹田市山田西４丁目１,ジオ阪急千里山田前植込み,181-4 ジオ阪急千里山田前植込み
181,5,大阪府吹田市山田西４丁目１６,山田上王子池公園東面,181-5 山田上王子池公園東面
181,6,大阪府吹田市山田西３丁目３３,千里王子高層Ａ棟西側石壁,181-6 千里王子高層Ａ棟西側石壁
181,7,大阪府吹田市山田北７－１,コーナン千里山田店フェンス,181-7 コーナン千里山田店フェンス
181,8,大阪府吹田市山田西４丁目２,山田駅東公園南面,181-8 山田駅東公園南面
182,1,大阪府吹田市山田西２丁目２,府営吹田山田西住宅８棟前,182-1 府営吹田山田西住宅８棟前
182,2,大阪府吹田市山田西２丁目５,山田西第２公園南東面,182-2 山田西第２公園南東面
182,3,大阪府吹田市山田西２丁目５－１,山田出張所北面,182-3 山田出張所北面
182,4,大阪府吹田市山田西２丁目９,山田西第３次団地Ａ３棟北面,182-4 山田西第３次団地Ａ３棟北面
182,5,大阪府吹田市山田西２丁目１０－１,山田・千里丘地域防災備蓄倉庫北東面,182-5 山田・千里丘地域防災備蓄倉庫北東面
182,6,大阪府吹田市山田西２丁目１１－１,西山田中学校東面,182-6 西山田中学校東面
182,7,大阪府吹田市山田西２丁目１４,山田西第３公園,182-7 山田西第３公園
183,1,大阪府吹田市山田西１丁目４－１,山田第三小学校南面,183-1 山田第三小学校南面
183,2,大阪府吹田市山田西１丁目４－１,山田第三小学校東面,183-2 山田第三小学校東面
183,3,大阪府吹田市山田西１丁目６－１,山田第五小学校東面,183-3 山田第五小学校東面
183,4,大阪府吹田市山田西１丁目２２,供給公社Ａ２棟西面,183-4 供給公社Ａ２棟西面
183,5,大阪府吹田市山田西１丁目２３,山田西三角広場西面,183-5 山田西三角広場西面
183,6,大阪府吹田市山田西１丁目２５,亥の子谷北公園北面フェンス,183-6 亥の子谷北公園北面フェンス
183,7,大阪府吹田市山田西１丁目２７－１５,山三保育園北面,183-7 山三保育園北面
183,8,大阪府吹田市山田西１丁目３１,亥子谷バス停横,183-8 亥子谷バス停横
184,1,大阪府吹田市山田東４丁目２５－１８の前,極楽橋北側鉄柵,184-1 極楽橋北側鉄柵
184,2,大阪府吹田市山田東４丁目３３－１,山田東中学校南面,184-2 山田東中学校南面
184,3,大阪府吹田市山田東４丁目３３－１,山田東中学校西面,184-3 山田東中学校西面
184,4,大阪府吹田市山田東４丁目３８,SUN SQUARE千里万博南東面,184-4 SUN SQUARE千里万博南東面
184,5,大阪府吹田市山田東４丁目３８,薮本モータープール北東面,184-5 薮本モータープール北東面
184,6,大阪府吹田市山田東４丁目４１,ローレルハイツ４棟北面,184-6 ローレルハイツ４棟北面
185,1,大阪府吹田市山田東１丁目１０－３７,メロディーハイム千里東駐車場,185-1 メロディーハイム千里東駐車場
185,2,大阪府吹田市山田東１丁目２０の前,山田下ふれあい公園北面,185-2 山田下ふれあい公園北面
185,3,大阪府吹田市山田東３丁目１８,ぎんが遊園西面,185-3 ぎんが遊園西面
185,4,大阪府吹田市山田東１丁目３１,千里台スカイハイツＡ棟西面,185-4 千里台スカイハイツＡ棟西面
185,5,大阪府吹田市山田東１丁目３１,山田小川公園東面,185-5 山田小川公園東面
185,6,大阪府吹田市山田東３丁目２８－１,山田高校正門横フェンス,185-6 山田高校正門横フェンス
185,7,大阪府吹田市山田東２丁目１７－６,駐車場西面,185-7 駐車場西面
185,8,大阪府吹田市山田東３丁目２５,駐車場南面,185-8 駐車場南面
185,9,大阪府吹田市山田東３丁目２５,小川自治会体育センター東面 所 在 地 山田西２丁目２ 山田西２丁目５ 山田西２丁目５－１ 山田西２丁目９ 山田西２丁目１０－１ 山田西２丁目１１－１ 山田西２丁目１４,185-9 小川自治会体育センター東面 所 在 地 山田西２丁目２ 山田西２丁目５ 山田西２丁目５－１ 山田西２丁目９ 山田西２丁目１０－１ 山田西２丁目１１－１ 山田西２丁目１４
186,1,大阪府吹田市尺谷6,尺谷公園西面フェンス,186-1 尺谷公園西面フェンス
186,2,大阪府吹田市樫切山３,エマブル樫切山横植栽,186-2 エマブル樫切山横植栽
186,3,大阪府吹田市山田市場１５－１,山田中学校北面,186-3 山田中学校北面
186,4,大阪府吹田市樫切山１３,千里台公園北面,186-4 千里台公園北面
186,5,大阪府吹田市山田市場１５－１,山田中学校正門横,186-5 山田中学校正門横
186,6,大阪府吹田市山田市場９,山田川公園鉄柵,186-6 山田川公園鉄柵
186,7,大阪府吹田市尺谷１５の前,名神沿いフェンス,186-7 名神沿いフェンス
187,1,大阪府吹田市山田南１－１,イズミヤ千里丘店植栽,187-1 イズミヤ千里丘店植栽
187,2,大阪府吹田市山田南２９,ルネ千里丘公園西面,187-2 ルネ千里丘公園西面
187,3,大阪府吹田市山田南５０－２,関西大学吹田みらいキャンパス (山田南１８の前・三差路沿い),187-3 関西大学吹田みらいキャンパス (山田南１８の前・三差路沿い)
187,4,大阪府吹田市山田南４３,山田南ニコニコ遊園,187-4 山田南ニコニコ遊園
187,5,大阪府吹田市山田南４５,だいのき公園,187-5 だいのき公園
187,6,大阪府吹田市山田南５０－２,関西大学吹田みらいキャンパス(住宅向かい),187-6 関西大学吹田みらいキャンパス(住宅向かい)
187,7,大阪府吹田市山田南５０－２,関西大学吹田みらいキャンパス,187-7 関西大学吹田みらいキャンパス
188,1,大阪府吹田市山田西３丁目１2,千里第４緑地西面,188-1 千里第４緑地西面
188,2,大阪府吹田市山田西３丁目２２の前,千里第４緑地北面,188-2 千里第４緑地北面
188,3,大阪府吹田市山田西３丁目２１,千里山田遊園,188-3 千里山田遊園
188,4,大阪府吹田市山田西３丁目９,王子公園東面,188-4 王子公園東面
188,5,大阪府吹田市山田西３丁目５２,一条池第一遊園北面,188-5 一条池第一遊園北面
188,6,大阪府吹田市山田西３丁目５９－３６,山田西いこいの遊園,188-6 山田西いこいの遊園
188,7,大阪府吹田市山田西３丁目８４－１,山田市民体育館北面,188-7 山田市民体育館北面
