投票区,番号,住所,備考,名称
191,1,大阪府吹田市長野東２６,長野公園東面,191-1 長野公園東面
191,2,大阪府吹田市長野東１,近畿郵政局吹田長野東第２社宅１棟西面,191-2 近畿郵政局吹田長野東第２社宅１棟西面
191,3,大阪府吹田市長野東６,千里丘つなぐ遊園南面フェンス,191-3 千里丘つなぐ遊園南面フェンス
191,4,大阪府吹田市長野西１７－１７,長野西公園北面,191-4 長野西公園北面
191,5,大阪府吹田市長野東１０,歩道鉄柵（シャルマンコーポ千里丘グランデ北側）,191-5 歩道鉄柵（シャルマンコーポ千里丘グランデ北側）
191,6,大阪府吹田市長野東２６,長野東２６フェンス,191-6 長野東２６フェンス
191,7,大阪府吹田市長野東２６,長野公園西面,191-7 長野公園西面
192,1,大阪府吹田市千里丘上１３,千里丘歩道橋下府道鉄柵,192-1 千里丘歩道橋下府道鉄柵
192,2,大阪府吹田市千里丘中４６,千里丘もくもく遊園,192-2 千里丘もくもく遊園
192,3,大阪府吹田市千里丘上３６,千里丘上公園南西面,192-3 千里丘上公園南西面
192,4,大阪府吹田市千里丘上２８,千里丘つくし野遊園前フェンス,192-4 千里丘つくし野遊園前フェンス
192,5,大阪府吹田市千里丘下１９,山田第二小学校東面フェンス,192-5 山田第二小学校東面フェンス
192,6,大阪府吹田市千里丘下１９,山田第二小学校南面フェンス,192-6 山田第二小学校南面フェンス
192,7,大阪府吹田市千里丘西９,南山田小学校北面,192-7 南山田小学校北面
192,8,大阪府吹田市千里丘西２４,千里丘西公園東面,192-8 千里丘西公園東面
193,1,大阪府吹田市青葉丘南１６－１,青葉丘南１６北西面鉄柵,193-1 青葉丘南１６北西面鉄柵
193,2,大阪府吹田市新芦屋上２９,メゾン千里丘Ｋ棟南面,193-2 メゾン千里丘Ｋ棟南面
193,3,大阪府吹田市清水１,清水一番遊園,193-3 清水一番遊園
193,4,大阪府吹田市青葉丘南８,青葉丘南第１公園,193-4 青葉丘南第１公園
193,5,大阪府吹田市青葉丘南１４,コーナン西側鉄柵,193-5 コーナン西側鉄柵
193,6,大阪府吹田市青葉丘南１５－１０,東山田小学校南面,193-6 東山田小学校南面
193,7,大阪府吹田市青葉丘南１６,青葉丘南第３公園（千里丘中学校南側）,193-7 青葉丘南第３公園（千里丘中学校南側）
193,8,大阪府吹田市青葉丘北１８,青葉丘公園,193-8 青葉丘公園
193,9,大阪府吹田市千里丘北１－１０,千里丘稲荷神社南西フェンス,193-9 千里丘稲荷神社南西フェンス
194,1,大阪府吹田市新芦屋上２０,ルナヴィータ住宅前 市道植樹帯,194-1 ルナヴィータ住宅前 市道植樹帯
194,2,大阪府吹田市新芦屋上１,住宅横フェンス,194-2 住宅横フェンス
194,3,大阪府吹田市新芦屋上２,ルナ・コートマンション(旧千里丘グランド跡) 北面フェンス,194-3 ルナ・コートマンション(旧千里丘グランド跡) 北面フェンス
194,4,大阪府吹田市新芦屋上10,新芦屋住宅遊園南面,194-4 新芦屋住宅遊園南面
194,5,大阪府吹田市新芦屋下１５,新芦屋下公園内東面フェンス,194-5 新芦屋下公園内東面フェンス
194,6,大阪府吹田市新芦屋上３－２０,ルナ・ハート老人ホーム横フェンス,194-6 ルナ・ハート老人ホーム横フェンス
194,7,大阪府吹田市新芦屋上１９,こがねどり遊園,194-7 こがねどり遊園
