通し番号,投票区,番号,名称,住所,設置説明
54,8,2,8-2 西中学校西門南側の塀,大阪府茨木市見付山二丁目５－４,西中学校西門南側の塀
55,8,3,8-3 浪速コーポ前道路鉄柵,大阪府茨木市北春日丘一丁目４,浪速コーポ前道路鉄柵
56,8,4,8-4 増田宅東側水路鉄柵,大阪府茨木市北春日丘一丁目６,増田宅東側水路鉄柵
57,8,5,8-5 ダイエー上穂積店西側歩道鉄柵,大阪府茨木市見付山二丁目１,ダイエー上穂積店西側歩道鉄柵
58,8,6,8-6 茨木レックスマンションＡ棟西側水路鉄柵,大阪府茨木市見付山一丁目１,茨木レックスマンションＡ棟西側水路鉄柵
59,8,7,8-7 西中学校正門西側の塀,大阪府茨木市見付山二丁目５－４,西中学校正門西側の塀
60,9,1,9-1 川端宅南側水路鉄柵,大阪府茨木市南春日丘六丁目７,川端宅南側水路鉄柵
61,9,2,9-2 春光園バス停歩道鉄柵,大阪府茨木市南春日丘二丁目２,春光園バス停歩道鉄柵
62,9,3,9-3 松沢池児童遊園前水路鉄柵,大阪府茨木市南春日丘二丁目４,松沢池児童遊園前水路鉄柵
63,9,4,9-4 沢池多世代交流センター東側道路鉄柵,大阪府茨木市南春日丘五丁目１,沢池多世代交流センター東側道路鉄柵
64,9,5,9-5 久保モータープール東側歩道鉄柵,大阪府茨木市南春日丘二丁目９,久保モータープール東側歩道鉄柵
65,9,6,9-6 春日丘公園南側水路鉄柵,大阪府茨木市南春日丘四丁目１,春日丘公園南側水路鉄柵
66,9,7,9-7 月極駐車場南側水路鉄柵,大阪府茨木市南春日丘六丁目５,月極駐車場南側水路鉄柵
67,9,8,9-8 南春日丘七丁目第二児童遊園南側金網,大阪府茨木市南春日丘七丁目３,南春日丘七丁目第二児童遊園南側金網
68,10,1,10-1 菜洗池西側歩道鉄柵,大阪府茨木市下穂積三丁目５,菜洗池西側歩道鉄柵
69,10,2,10-2 春日丘小学校南側植栽,大阪府茨木市中穂積三丁目３－４３,春日丘小学校南側植栽
70,10,3,10-3 春日丘小学校北門前歩道鉄柵,大阪府茨木市中穂積三丁目３－４３,春日丘小学校北門前歩道鉄柵
71,10,4,10-4 中穂積児童遊園東側金網,大阪府茨木市中穂積三丁目８,中穂積児童遊園東側金網
72,10,5,10-5 第二田中マンション南側水路鉄柵,大阪府茨木市中穂積三丁目１５,第二田中マンション南側水路鉄柵
73,10,6,10-6 春日丘橋西側水路鉄柵,大阪府茨木市中穂積三丁目４,春日丘橋西側水路鉄柵
74,10,7,10-7 西陵中学校正門横フェンス,大阪府茨木市南春日丘一丁目１９－６,西陵中学校正門横フェンス
75,10,8,10-8 紫明園北第二児童遊園南側フェンス,大阪府茨木市紫明園１,紫明園北第二児童遊園南側フェンス
76,11,1,11-1 千歳橋北西堤防ガードレール,大阪府茨木市庄一丁目１,千歳橋北西堤防ガードレール
77,11,2,11-2 庄栄小学校南側水路鉄柵,大阪府茨木市庄二丁目２６－５,庄栄小学校南側水路鉄柵
78,11,3,11-3 庄第４児童遊園西側フェンス,大阪府茨木市庄一丁目９,庄第４児童遊園西側フェンス
79,11,4,11-4 庄栄小学校正門北側水路鉄柵,大阪府茨木市庄二丁目２５－２７,庄栄小学校正門北側水路鉄柵
80,11,5,11-5 エスポワールセゾン東側道路鉄柵,大阪府茨木市庄一丁目２７－１,エスポワールセゾン東側道路鉄柵
81,11,6,11-6 オ－クタウン９号棟西側水路鉄柵,大阪府茨木市橋の内二丁目７,オ－クタウン９号棟西側水路鉄柵
82,11,7,11-7 オ－クタウン19号棟北側水路鉄柵,大阪府茨木市橋の内二丁目７,オ－クタウン19号棟北側水路鉄柵
83,11,8,11-8 庄一丁目児童遊園南側道路鉄柵,大阪府茨木市庄一丁目２８,庄一丁目児童遊園南側道路鉄柵
84,12,1,12-1 三島公園北側道路ガードレール,大阪府茨木市三島町３,三島公園北側道路ガードレール
85,12,2,12-2 疣水神社西側道路鉄柵,大阪府茨木市三島丘一丁目４,疣水神社西側道路鉄柵
86,12,3,12-3 三島丘公園東側入口フェンス,大阪府茨木市三島丘二丁目３０,三島丘公園東側入口フェンス
87,12,4,12-4 三島南公園西側柵,大阪府茨木市三島町２,三島南公園西側柵
88,12,5,12-5 府営高層住宅北側フェンス,大阪府茨木市三島丘二丁目２,府営高層住宅北側フェンス
89,12,6,12-6 三島丘第３児童遊園北西フェンス,大阪府茨木市三島丘二丁目５,三島丘第３児童遊園北西フェンス
90,12,7,12-7 三島丘二丁目北児童遊園東側水路鉄柵,大阪府茨木市三島丘二丁目１１,三島丘二丁目北児童遊園東側水路鉄柵
91,13,1,13-1 倍賀神社南側石塀,大阪府茨木市春日四丁目１,倍賀神社南側石塀
92,13,2,13-2 農園リヴェール南側道路鉄柵,大阪府茨木市西田中町３,農園リヴェール南側道路鉄柵
93,13,3,13-3 春日保育所南側ブロック塀,大阪府茨木市西田中町１,春日保育所南側ブロック塀
94,13,4,13-4 西田中ヒルズ西側水路鉄柵,大阪府茨木市西田中町６,西田中ヒルズ西側水路鉄柵
95,13,5,13-5 畑田コミュニティセンター南側水路鉄柵,大阪府茨木市畑田町２,畑田コミュニティセンター南側水路鉄柵
96,13,6,13-6 奥野宅東側道路鉄柵,大阪府茨木市畑田町１４,奥野宅東側道路鉄柵
97,13,7,13-7 巡礼橋東詰道路東側ガードレール,大阪府茨木市五日市二丁目３,巡礼橋東詰道路東側ガードレール
98,14,1,14-1 耳原一丁目児童遊園東側金網,大阪府茨木市耳原一丁目４,耳原一丁目児童遊園東側金網
99,14,2,14-2 耳原小学校南東角の塀,大阪府茨木市耳原二丁目２０－５５,耳原小学校南東角の塀
100,14,3,14-3 耳原小学校北側の塀,大阪府茨木市耳原二丁目２０－５５,耳原小学校北側の塀
101,14,4,14-4 パレットマンション南側水路鉄柵,大阪府茨木市上野町３,パレットマンション南側水路鉄柵
102,14,5,14-5 幣久良橋東詰北側歩道鉄柵,大阪府茨木市耳原三丁目１２,幣久良橋東詰北側歩道鉄柵
103,14,6,14-6 Page One東側水路鉄柵,大阪府茨木市十日市町６－２２,Page One東側水路鉄柵
104,14,7,14-7 柳川宅西側堤防ガ-ドﾚ-ﾙ,大阪府茨木市上野町１２,柳川宅西側堤防ガ-ドﾚ-ﾙ
105,14,8,14-8 （株）国際興業大阪北摂営業所南側水路鉄柵,大阪府茨木市南耳原二丁目１４,（株）国際興業大阪北摂営業所南側水路鉄柵
106,15,1,15-1 東太田三丁目第２児童遊園東側水路鉄柵,大阪府茨木市東太田三丁目５,東太田三丁目第２児童遊園東側水路鉄柵
107,15,2,15-2 太田東芝町児童遊園北側金網,大阪府茨木市太田東芝町１,太田東芝町児童遊園北側金網
108,15,3,15-3 東太田東公園西側フェンス,大阪府茨木市東太田四丁目７,東太田東公園西側フェンス
109,15,4,15-4 道路向かいのAINOPIAビル前の歩道鉄柵,大阪府茨木市高田町１－２２先,道路向かいのAINOPIAビル前の歩道鉄柵
110,15,5,15-5 マンションアネックス西村南側水路鉄柵,大阪府茨木市東太田三丁目２,マンションアネックス西村南側水路鉄柵
111,15,6,15-6 ヘアースタジオマツモト南側歩道鉄柵,大阪府茨木市東太田三丁目８,ヘアースタジオマツモト南側歩道鉄柵
112,15,7,15-7 東太田四丁目児童遊園南側金網,大阪府茨木市東太田四丁目１,東太田四丁目児童遊園南側金網
113,15,8,15-8 ロピア北側道路ガードレール,大阪府茨木市東太田一丁目６,ロピア北側道路ガードレール
114,16,1,16-1 阪急茨木西口駐車場西側水路鉄柵,大阪府茨木市永代町２,阪急茨木西口駐車場西側水路鉄柵
115,16,2,16-2 阪急茨木北口駐車場南側鉄柵,大阪府茨木市永代町８,阪急茨木北口駐車場南側鉄柵
116,16,3,16-3 東中学校東側塀,大阪府茨木市末広町７,東中学校東側塀
117,16,4,16-4 旧戸伏浄水場フェンス,大阪府茨木市戸伏町１３,旧戸伏浄水場フェンス
118,16,5,16-5 竹橋公園西側金網,大阪府茨木市竹橋町１０,竹橋公園西側金網
119,16,6,16-6 中村公園北側フェンス,大阪府茨木市中村町２,中村公園北側フェンス
120,16,7,16-7 東中学校南側ブロック塀,大阪府茨木市末広町７,東中学校南側ブロック塀
121,16,8,16-8 中村公園東側植栽,大阪府茨木市中村町２,中村公園東側植栽
122,17,1,17-1 メゾンプルミエール南西水路鉄柵,大阪府茨木市玉櫛一丁目１５,メゾンプルミエール南西水路鉄柵
123,17,2,17-2 府営茨木玉櫛住宅１４号棟南側歩道鉄柵,大阪府茨木市玉櫛二丁目３,府営茨木玉櫛住宅１４号棟南側歩道鉄柵
124,17,3,17-3 水尾二丁目児童遊園北側金網,大阪府茨木市水尾二丁目１,水尾二丁目児童遊園北側金網
125,17,4,17-4 玉櫛小学校北側塀,大阪府茨木市水尾三丁目１－５１,玉櫛小学校北側塀
126,17,5,17-5 玉櫛小学校北門東側金網,大阪府茨木市水尾三丁目１－５１,玉櫛小学校北門東側金網
127,17,6,17-6 水尾三丁目児童遊園東側金網,大阪府茨木市水尾三丁目３,水尾三丁目児童遊園東側金網
128,17,7,17-7 玉水町児童遊園東側フェンス,大阪府茨木市玉水町３,玉水町児童遊園東側フェンス
129,18,1,18-1 若園公園ﾃﾆｽｺ-ﾄ南側金網,大阪府茨木市真砂二丁目４,若園公園ﾃﾆｽｺ-ﾄ南側金網
130,18,2,18-2 真砂四号公園北側金網,大阪府茨木市真砂三丁目１６,真砂四号公園北側金網
131,18,3,18-3 真砂三号公園北側金網,大阪府茨木市真砂三丁目７,真砂三号公園北側金網
132,18,4,18-4 南中学校北門横のフェンス,大阪府茨木市若園町６－４１,南中学校北門横のフェンス
133,18,5,18-5 若園北公園西側金網,大阪府茨木市若園町１０,若園北公園西側金網
134,18,6,18-6 真砂玉島台児童遊園北側鉄柵,大阪府茨木市真砂玉島台４,真砂玉島台児童遊園北側鉄柵
135,18,7,18-7 南中学校西門西側水路鉄柵,大阪府茨木市若園町６－４１,南中学校西門西側水路鉄柵
136,18,8,18-8 ベラディールⅠ東側水路鉄柵,大阪府茨木市真砂二丁目１１,ベラディールⅠ東側水路鉄柵
137,19,1,19-1 井上宅南側歩道鉄柵,大阪府茨木市安威三丁目１９,井上宅南側歩道鉄柵
138,19,2,19-2 本間宅南側道路鉄柵,大阪府茨木市安威二丁目１－８,本間宅南側道路鉄柵
139,19,3,19-3 安威小学校正門西側ブロック塀,大阪府茨木市安威二丁目２１－２３,安威小学校正門西側ブロック塀
140,19,4,19-4 安威小学校東側塀,大阪府茨木市安威二丁目２１－２３,安威小学校東側塀
141,19,5,19-5 北幼稚園北側金網,大阪府茨木市安威二丁目２８－１６,北幼稚園北側金網
142,19,6,19-6 安威バス停東側歩道鉄柵,大阪府茨木市東安威二丁目１３,安威バス停東側歩道鉄柵
143,19,7,19-7 是推橋西側交差点西側道路鉄柵,大阪府茨木市安威二丁目５,是推橋西側交差点西側道路鉄柵
144,20,1,20-1 さわらぎ二号公園北側金網,大阪府茨木市沢良宜浜二丁目２０,さわらぎ二号公園北側金網
145,20,2,20-2 小柳公園東側金網,大阪府茨木市小柳町１４,小柳公園東側金網
146,20,3,20-3 仲宅北側水路鉄柵,大阪府茨木市島一丁目５,仲宅北側水路鉄柵
147,20,4,20-4 沢良宜橋交差点東側歩道鉄柵,大阪府茨木市沢良宜浜一丁目１,沢良宜橋交差点東側歩道鉄柵
148,20,5,20-5 沢良宜浜公園西側金網,大阪府茨木市沢良宜浜三丁目１３,沢良宜浜公園西側金網
149,20,6,20-6 南市民体育館駐車場北側植栽,大阪府茨木市島三丁目８,南市民体育館駐車場北側植栽
150,20,7,20-7 葦原小学校正門南側の塀,大阪府茨木市新和町１３－５０,葦原小学校正門南側の塀
151,20,8,20-8 沢良宜浜区画整理公園南側植栽,大阪府茨木市横江一丁目８,沢良宜浜区画整理公園南側植栽
152,21,1,21-1 平田中学校正門東側水路鉄柵,大阪府茨木市平田一丁目８－２０,平田中学校正門東側水路鉄柵
153,21,2,21-2 平田公園南側水路ガードレール,大阪府茨木市平田二丁目１２,平田公園南側水路ガードレール
154,21,3,21-3 野々宮自治会館西側の塀,大阪府茨木市野々宮二丁目４,野々宮自治会館西側の塀
155,21,4,21-4 玉島小学校正門横の塀（フェンス）,大阪府茨木市玉島二丁目１１－２３,玉島小学校正門横の塀（フェンス）
156,21,5,21-5 平田台６号棟東側水路鉄柵,大阪府茨木市平田台５,平田台６号棟東側水路鉄柵
157,21,6,21-6 乾宅西側水路鉄柵,大阪府茨木市平田二丁目６－１４,乾宅西側水路鉄柵
158,21,7,21-7 ＮＴＴ星見ビル北側フェンス,大阪府茨木市星見町１９－１１,ＮＴＴ星見ビル北側フェンス
159,22,1,22-1 木下宅東側道路鉄柵,大阪府茨木市鮎川二丁目１３,木下宅東側道路鉄柵
160,22,2,22-2 東小学校正門西側の塀,大阪府茨木市鮎川二丁目５－２３,東小学校正門西側の塀
161,22,3,22-3 東小学校南西角水路鉄柵,大阪府茨木市鮎川二丁目５－２３,東小学校南西角水路鉄柵
162,22,4,22-4 西慶寺南側歩道鉄柵,大阪府茨木市橋の内一丁目２－２２,西慶寺南側歩道鉄柵
163,22,5,22-5 東小学校西側フェンス,大阪府茨木市鮎川二丁目５－２３,東小学校西側フェンス
164,22,6,22-6 林駐車場北側水路鉄柵,大阪府茨木市橋の内三丁目９,林駐車場北側水路鉄柵
165,22,7,22-7 第２林モータープール北側水路鉄柵,大阪府茨木市橋の内三丁目１５－１,第２林モータープール北側水路鉄柵
166,23,1,23-1 中河原バス停歩道鉄柵,大阪府茨木市中河原町８,中河原バス停歩道鉄柵
167,23,2,23-2 豊原町児童遊園西側鉄柵,大阪府茨木市豊原町９,豊原町児童遊園西側鉄柵
168,23,3,23-3 福井小学校南門東側塀,大阪府茨木市東福井二丁目４－２０,福井小学校南門東側塀
169,23,4,23-4 福井宮の前バス停(下り)歩道鉄柵,大阪府茨木市東福井二丁目５,福井宮の前バス停(下り)歩道鉄柵
170,23,5,23-5 上福井バス停(山手台行き)歩道鉄柵,大阪府茨木市東福井三丁目１７,上福井バス停(山手台行き)歩道鉄柵
171,23,6,23-6 福井バス停(粟生団地行き)歩道鉄柵,大阪府茨木市西福井一丁目１４,福井バス停(粟生団地行き)歩道鉄柵
172,23,7,23-7 府営住宅入口植栽帯鉄柵,大阪府茨木市西福井二丁目３,府営住宅入口植栽帯鉄柵
173,24,1,24-1 桑原橋バス停(上り)歩道鉄柵,大阪府茨木市桑原,桑原橋バス停(上り)歩道鉄柵
174,24,2,24-2 桑原自治会館東側フェンス（道路向き設置）,大阪府茨木市桑原３５３－１,桑原自治会館東側フェンス（道路向き設置）
175,24,3,24-3 桑原奥条サンサン児童遊園東側フェンス,大阪府茨木市桑原,桑原奥条サンサン児童遊園東側フェンス
176,24,4,24-4 サニータウン入口歩道鉄柵,大阪府茨木市桑原,サニータウン入口歩道鉄柵
177,24,5,24-5 大門寺代替宅地内歩道鉄柵,大阪府茨木市大門寺,大門寺代替宅地内歩道鉄柵
178,24,6,24-6 生保バス停西側ガードレール,大阪府茨木市生保,生保バス停西側ガードレール
179,25,1,25-1 農協石河支所向かい側のガードレール,大阪府茨木市大岩３４７－１先,農協石河支所向かい側のガードレール
180,25,2,25-2 国見株集会所前鉄柵,大阪府茨木市大岩５３４,国見株集会所前鉄柵
181,25,3,25-3 旧大岩バス停鉄柵,大阪府茨木市大岩,旧大岩バス停鉄柵
182,25,4,25-4 岡宅北西側道路ガードレール,大阪府茨木市大岩,岡宅北西側道路ガードレール
183,25,5,25-5 大岩東児童遊園東側金網,大阪府茨木市大岩,大岩東児童遊園東側金網
184,26,1,26-1 せせらぎ公園南側フェンス,大阪府茨木市車作,せせらぎ公園南側フェンス
185,26,2,26-2 車作バス停北側鉄柵,大阪府茨木市車作,車作バス停北側鉄柵
186,26,3,26-3 車作自治会館前の鉄柵,大阪府茨木市車作１,車作自治会館前の鉄柵
187,26,4,26-4 旧車作クラブ北側道路ガードレール,大阪府茨木市車作,旧車作クラブ北側道路ガードレール
188,26,5,26-5 板谷バス停(忍頂寺行き)横ガードレール,大阪府茨木市車作,板谷バス停(忍頂寺行き)横ガードレール
189,26,6,26-6 門宅南側水路鉄柵,大阪府茨木市安元,門宅南側水路鉄柵
190,26,7,26-7 門宅前道路法面,大阪府茨木市安元,門宅前道路法面
191,27,1,27-1 忍頂寺自治会館南側ガードレール,大阪府茨木市忍頂寺,忍頂寺自治会館南側ガードレール
192,27,2,27-2 豊浦宅西側ガードレール,大阪府茨木市忍頂寺,豊浦宅西側ガードレール
193,27,3,27-3 清阪地区入口のガードレール,大阪府茨木市清阪,清阪地区入口のガードレール
194,27,4,27-4 見山公民館前歩道鉄柵,大阪府茨木市下音羽１６３,見山公民館前歩道鉄柵
195,27,5,27-5 茨木農村婦人の家南側ガ-ドレ-ル,大阪府茨木市下音羽,茨木農村婦人の家南側ガ-ドレ-ル
196,27,6,27-6 長谷口バス停(上り)横ガ－ドレ－ル,大阪府茨木市長谷,長谷口バス停(上り)横ガ－ドレ－ル
197,27,7,27-7 猪谷宅南側ガードレール,大阪府茨木市下音羽,猪谷宅南側ガードレール
198,28,1,28-1 稲葉庄バス停(上り)横ガードレール,大阪府茨木市銭原,稲葉庄バス停(上り)横ガードレール
199,28,2,28-2 ㈱車川組前ガードレール,大阪府茨木市銭原,㈱車川組前ガードレール
200,28,3,28-3 車川庄バス停(上り)横ガードレール,大阪府茨木市銭原,車川庄バス停(上り)横ガードレール
201,28,4,28-4 銭原児童遊園南側ガードレール,大阪府茨木市銭原,銭原児童遊園南側ガードレール
202,28,5,28-5 銭原クラブ前バス停(上り)ガ-ドレ-ル,大阪府茨木市銭原,銭原クラブ前バス停(上り)ガ-ドレ-ル
203,28,6,28-6 銭原バス停北側鉄柵,大阪府茨木市銭原,銭原バス停北側鉄柵
204,29,1,29-1 上音羽口バス停（下り）横鉄柵郵便ポストの横,大阪府茨木市上音羽,上音羽口バス停（下り）横鉄柵郵便ポストの横
205,29,2,29-2 桜の苑１前ガードレール,大阪府茨木市上音羽,桜の苑１前ガードレール
206,29,3,29-3 上音羽児童遊園金網,大阪府茨木市上音羽,上音羽児童遊園金網
207,29,4,29-4 上音羽クラブ裏出入口ガードレール,大阪府茨木市上音羽,上音羽クラブ裏出入口ガードレール
208,29,5,29-5 鎌谷宅南側府道ガードレール,大阪府茨木市上音羽,鎌谷宅南側府道ガードレール
209,29,6,29-6 西ノ坊宅前ガードレール,大阪府茨木市上音羽,西ノ坊宅前ガードレール
210,30,1,30-1 南条バス停(下り)横ガ－ドレ－ル,大阪府茨木市泉原,南条バス停(下り)横ガ－ドレ－ル
211,30,2,30-2 北辰出張所前歩道鉄柵,大阪府茨木市泉原,北辰出張所前歩道鉄柵
212,30,3,30-3 大谷宅東側道路鉄柵,大阪府茨木市泉原,大谷宅東側道路鉄柵
213,30,4,30-4 西谷宅南側ガ－ドレ－ル,大阪府茨木市泉原,西谷宅南側ガ－ドレ－ル
214,30,5,30-5 泉原老人集会所金網,大阪府茨木市泉原,泉原老人集会所金網
215,30,6,30-6 千提寺口バス停(上り)歩道鉄柵,大阪府茨木市泉原,千提寺口バス停(上り)歩道鉄柵
216,30,7,30-7 集落センター東側道路ガードレール,大阪府茨木市千提寺,集落センター東側道路ガードレール
217,31,1,31-1 下辻宅東側府道ガードレール,大阪府茨木市佐保,下辻宅東側府道ガードレール
218,31,2,31-2 馬場新橋北側歩道鉄柵,大阪府茨木市佐保,馬場新橋北側歩道鉄柵
219,31,3,31-3 東藤宅前ガードレール,大阪府茨木市佐保,東藤宅前ガードレール
220,31,4,31-4 西上宅前ガ－ドレ－ル,大阪府茨木市佐保,西上宅前ガ－ドレ－ル
221,31,5,31-5 免山バス停(上り)前ガ－ドレ－ル,大阪府茨木市佐保,免山バス停(上り)前ガ－ドレ－ル
222,31,6,31-6 免山バス停(下り)前鉄柵,大阪府茨木市佐保,免山バス停(下り)前鉄柵
223,31,7,31-7 馬場バス停南側鉄柵,大阪府茨木市佐保,馬場バス停南側鉄柵
224,32,1,32-1 豊川小学校南通用門付近の白いフェンス,大阪府茨木市宿久庄五丁目１４,豊川小学校南通用門付近の白いフェンス
225,32,2,32-2 地頭所宅南側道路鉄柵,大阪府茨木市清水一丁目１４,地頭所宅南側道路鉄柵
226,32,3,32-3 宿久庄四丁目児童遊園北側フェンス,大阪府茨木市宿久庄四丁目１６,宿久庄四丁目児童遊園北側フェンス
227,32,4,32-4 南清水町交差点南東,大阪府茨木市南清水町３,南清水町交差点南東
228,32,5,32-5 生田宅南側ガ－ドレ－ル,大阪府茨木市宿久庄四丁目,生田宅南側ガ－ドレ－ル
229,32,6,32-6 豊川小学校西通用門付近の白いフェンス,大阪府茨木市宿久庄五丁目１４－５,豊川小学校西通用門付近の白いフェンス
230,33,1,33-1 豊川コミュニティセンター南側フェンス,大阪府茨木市藤の里二丁目１６,豊川コミュニティセンター南側フェンス
231,33,2,33-2 鍛冶屋橋北側道路東側鉄柵,大阪府茨木市豊川一丁目６,鍛冶屋橋北側道路東側鉄柵
232,33,3,33-3 豊川いのち愛ゆめセンター正門東側歩道鉄柵,大阪府茨木市豊川四丁目４,豊川いのち愛ゆめセンター正門東側歩道鉄柵
233,33,4,33-4 豊川いのち愛ゆめセンター南側歩道鉄柵,大阪府茨木市豊川四丁目４,豊川いのち愛ゆめセンター南側歩道鉄柵
234,33,5,33-5 藤の里公園東側フェンス,大阪府茨木市藤の里一丁目８,藤の里公園東側フェンス
