通し番号 投票区 番号 設置場所 設置説明
429 60 5 彩都あさぎ四丁目１ 彩都あさぎ三丁目バス停南側ガードレール
430 60 6 彩都あさぎ四丁目 彩都西中学校北側フェンス
431 60 7 彩都やまぶき四丁目 はしご谷橋北側道路の西側鉄柵
432 60 8 彩都やまぶき二丁目１ 類彩都ビル南側歩道鉄柵
433 61 1 西河原一丁目１７－１０ 三島中学校正門西側の塀
434 61 2 西河原二丁目５ 西河原公園西側柵
435 61 3 西河原一丁目１８ グレーシィ茨木東側道路鉄柵
436 61 4 三咲町５ トヨタカローラ新大阪西側歩道鉄柵
437 61 5 西河原二丁目１８ 西河原公園テニスコート横鉄柵
438 61 6 西河原二丁目７ 三島コミュニティセンター前鉄柵
439 61 7 西河原一丁目８ ファミリーマート西側歩道鉄柵
440 62 1 美穂ケ丘１９ 美穂ケ丘バス停南側道路鉄柵
441 62 2 美穂ケ丘1３ 美穂ケ丘公園北側フェンス
442 62 3 美穂ケ丘1２ 美穂ケ丘児童遊園東側フェンス
443 62 4 美穂ケ丘１９ 朝日プラザ千里北Ｃ棟南西側フェンス
444 62 5 美穂ケ丘１９ 朝日プラザ千里北Ｃ棟南東側フェンス
445 62 6 美穂ケ丘５ ジョイントビル花千里北側道路フェンス
446 62 7 美穂ケ丘１３ 美穂ケ丘公園北側道路鉄柵
