通し番号 投票区 番号 設置場所 設置説明
98 14 1 耳原一丁目４ 耳原一丁目児童遊園東側金網
99 14 2 耳原二丁目２０－５５ 耳原小学校南東角の塀
100 14 3 耳原二丁目２０－５５ 耳原小学校北側の塀
101 14 4 上野町３ パレットマンション南側水路鉄柵
102 14 5 耳原三丁目１２ 幣久良橋東詰北側歩道鉄柵
103 14 6 十日市町６－２２ Page One東側水路鉄柵
104 14 7 上野町１２ 柳川宅西側堤防ガ-ドﾚ-ﾙ
105 14 8 南耳原二丁目１４ （株）国際興業大阪北摂営業所南側水路鉄柵
106 15 1 東太田三丁目５ 東太田三丁目第２児童遊園東側水路鉄柵
107 15 2 太田東芝町１ 太田東芝町児童遊園北側金網
108 15 3 東太田四丁目７ 東太田東公園西側フェンス
109 15 4 高田町１－２２先 道路向かいのAINOPIAビル前の歩道鉄柵
110 15 5 東太田三丁目２ マンションアネックス西村南側水路鉄柵
111 15 6 東太田三丁目８ ヘアースタジオマツモト南側歩道鉄柵
112 15 7 東太田四丁目１ 東太田四丁目児童遊園南側金網
113 15 8 東太田一丁目６ ロピア北側道路ガードレール
114 16 1 永代町２ 阪急茨木西口駐車場西側水路鉄柵
115 16 2 永代町８ 阪急茨木北口駐車場南側鉄柵
116 16 3 末広町７ 東中学校東側塀
117 16 4 戸伏町１３ 旧戸伏浄水場フェンス
118 16 5 竹橋町１０ 竹橋公園西側金網
119 16 6 中村町２ 中村公園北側フェンス
120 16 7 末広町７ 東中学校南側ブロック塀
121 16 8 中村町２ 中村公園東側植栽
122 17 1 玉櫛一丁目１５ メゾンプルミエール南西水路鉄柵
123 17 2 玉櫛二丁目３ 府営茨木玉櫛住宅１４号棟南側歩道鉄柵
124 17 3 水尾二丁目１ 水尾二丁目児童遊園北側金網
125 17 4 水尾三丁目１－５１ 玉櫛小学校北側塀
126 17 5 水尾三丁目１－５１ 玉櫛小学校北門東側金網
127 17 6 水尾三丁目３ 水尾三丁目児童遊園東側金網
128 17 7 玉水町３ 玉水町児童遊園東側フェンス
129 18 1 真砂二丁目４ 若園公園ﾃﾆｽｺ-ﾄ南側金網
130 18 2 真砂三丁目１６ 真砂四号公園北側金網
131 18 3 真砂三丁目７ 真砂三号公園北側金網
132 18 4 若園町６－４１ 南中学校北門横のフェンス
133 18 5 若園町１０ 若園北公園西側金網
134 18 6 真砂玉島台４ 真砂玉島台児童遊園北側鉄柵
135 18 7 若園町６－４１ 南中学校西門西側水路鉄柵
136 18 8 真砂二丁目１１ ベラディールⅠ東側水路鉄柵
137 19 1 安威三丁目１９ 井上宅南側歩道鉄柵
138 19 2 安威二丁目１－８ 本間宅南側道路鉄柵
139 19 3 安威二丁目２１－２３ 安威小学校正門西側ブロック塀
140 19 4 安威二丁目２１－２３ 安威小学校東側塀
141 19 5 安威二丁目２８－１６ 北幼稚園北側金網
142 19 6 東安威二丁目１３ 安威バス停東側歩道鉄柵
143 19 7 安威二丁目５ 是推橋西側交差点西側道路鉄柵
144 20 1 沢良宜浜二丁目２０ さわらぎ二号公園北側金網
145 20 2 小柳町１４ 小柳公園東側金網
146 20 3 島一丁目５ 仲宅北側水路鉄柵
147 20 4 沢良宜浜一丁目１ 沢良宜橋交差点東側歩道鉄柵
148 20 5 沢良宜浜三丁目１３ 沢良宜浜公園西側金網
149 20 6 島三丁目８ 南市民体育館駐車場北側植栽
150 20 7 新和町１３－５０ 葦原小学校正門南側の塀
151 20 8 横江一丁目８ 沢良宜浜区画整理公園南側植栽
152 21 1 平田一丁目８－２０ 平田中学校正門東側水路鉄柵
153 21 2 平田二丁目１２ 平田公園南側水路ガードレール
154 21 3 野々宮二丁目４ 野々宮自治会館西側の塀
155 21 4 玉島二丁目１１－２３ 玉島小学校正門横の塀（フェンス）
156 21 5 平田台５ 平田台６号棟東側水路鉄柵
157 21 6 平田二丁目６－１４ 乾宅西側水路鉄柵
158 21 7 星見町１９－１１ ＮＴＴ星見ビル北側フェンス
159 22 1 鮎川二丁目１３ 木下宅東側道路鉄柵
160 22 2 鮎川二丁目５－２３ 東小学校正門西側の塀
161 22 3 鮎川二丁目５－２３ 東小学校南西角水路鉄柵
162 22 4 橋の内一丁目２－２２ 西慶寺南側歩道鉄柵
163 22 5 鮎川二丁目５－２３ 東小学校西側フェンス
164 22 6 橋の内三丁目９ 林駐車場北側水路鉄柵
165 22 7 橋の内三丁目１５－１ 第２林モータープール北側水路鉄柵
166 23 1 中河原町８ 中河原バス停歩道鉄柵
